"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"27.10.2025","146.969","146.174","147.977","146.174","6,45M","0,55%"
"24.10.2025","146.172","145.721","147.240","145.721","6,49B","0,31%"
"23.10.2025","145.721","144.881","146.358","144.881","6,60B","0,59%"
"22.10.2025","144.873","144.094","145.048","144.039","7,02B","0,55%"
"21.10.2025","144.085","144.509","144.795","143.829","6,19B","-0,29%"
"20.10.2025","144.509","143.399","145.216","143.396","6,79B","0,77%"
"17.10.2025","143.399","142.200","143.424","141.248","8,88B","0,84%"
"16.10.2025","142.200","142.604","143.191","141.446","7,39B","-0,28%"
"15.10.2025","142.604","141.683","142.905","141.154","10,32B","0,65%"
"14.10.2025","141.683","141.788","142.589","141.334","7,12B","-0,07%"
"13.10.2025","141.783","140.682","142.303","140.682","5,53B","0,78%"
"10.10.2025","140.680","141.725","142.274","140.231","8,28B","-0,73%"
"09.10.2025","141.708","142.148","143.212","141.603","6,82B","-0,31%"
"08.10.2025","142.145","141.356","142.385","141.356","7,53B","0,56%"
"07.10.2025","141.356","143.606","143.606","141.035","9,27B","-1,57%"
"06.10.2025","143.608","144.202","144.532","143.376","5,98B","-0,41%"
"03.10.2025","144.201","143.950","144.518","143.676","6,18B","0,17%"
"02.10.2025","143.950","145.517","145.621","143.635","7,25B","-1,08%"
"01.10.2025","145.517","146.237","146.879","145.193","8,34B","-0,49%"
"30.09.2025","146.237","146.337","147.578","145.774","9,48B","-0,07%"
"29.09.2025","146.337","145.447","147.558","145.447","7,07B","0,61%"
